s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
1.996454133113935114e+01,8.564786541678519605e-01,-1.775008644502791810e+01,3.787548739639956530e-02,-5.206383270434059712e-02,6.810615960629291088e+00,4.369829750738397856e+00
2.016418674445074544e+01,8.499352735420514504e-01,-1.755045527853442522e+01,2.774462902457530689e-02,-4.939392096609310917e-02,6.937530014100957487e+00,4.334839785496958697e+00
2.036383215776213973e+01,8.453638260495942580e-01,-1.735091109743726534e+01,1.816193678243416265e-02,-4.654853853513210571e-02,7.061174438985349688e+00,4.300129990819920422e+00
2.056347757107353047e+01,8.426455147625159237e-01,-1.715119457797455738e+01,9.153901137153086509e-03,-4.366990142036775852e-02,7.181725900951664521e+00,4.265698123334227709e+00
2.076312298438492476e+01,8.416693075511301192e-01,-1.695157075955856385e+01,7.238469060575347669e-04,-4.076015945210779284e-02,7.299345247773211476e+00,4.231541957629892714e+00
2.096276839769631906e+01,8.423183544987182803e-01,-1.675185872654757091e+01,-7.128099201296089760e-03,-3.788923814474158547e-02,7.414179451047864688e+00,4.197659286116167898e+00
2.116241381100771335e+01,8.444774560710069933e-01,-1.655219947020975368e+01,-1.439653022014097949e-02,-3.484457223523373948e-02,7.526363250506486580e+00,4.164047918878853949e+00
2.136205922431910764e+01,8.480260094796492343e-01,-1.635255290907458203e+01,-2.104576576269989729e-02,-3.176985205731900491e-02,7.636020554857131160e+00,4.130705683538762329e+00
2.156170463763049838e+01,8.528454249755861305e-01,-1.615287548865326173e+01,-2.714803899795570352e-02,-2.960542628670567028e-02,7.743265641905632712e+00,4.097630425111294272e+00
2.176135005094189268e+01,8.588425369051151392e-01,-1.595333623420204638e+01,-3.288681562020778770e-02,-2.790251283438540189e-02,7.848204192090927123e+00,4.064820005867215258e+00
2.196099546425328697e+01,8.659598625702885633e-01,-1.575366184423709726e+01,-3.834152359285325495e-02,-2.690269843338944158e-02,7.950934182910154746e+00,4.032272305194462447e+00
2.216064087756468126e+01,8.741404489904409658e-01,-1.555426521797431860e+01,-4.364425880726652274e-02,-2.625216369032376193e-02,8.051546666503178074e+00,3.999985219460977959e+00
