# e7_fifth_v3 raceline (centerline path; velocity copied from e7_fifth_v3_centerline_with_vel.csv)
# generated for mppi_example / mppi_bringup
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; w_tr_right_m; w_tr_left_m
29.872642;19.850000;0.120000;0.000000;0.000000;6.371036;4.505676;0.920800;0.920800
30.072642;20.050000;0.120000;0.000000;0.000000;6.510339;4.469413;0.900000;0.900000
30.272642;20.250000;0.120000;0.000000;0.000000;6.645640;4.433439;0.900000;0.900000
30.472642;20.450000;0.120000;0.000000;0.000000;6.777187;4.397784;0.900000;0.900000
30.672642;20.650000;0.120000;0.000000;0.000000;6.905204;4.362432;0.900000;0.900000
30.872642;20.850000;0.120000;0.000000;0.000000;7.029891;4.327355;0.900000;0.900000
31.072642;21.050000;0.120000;0.000000;0.000000;7.151430;4.292592;0.900000;0.900000
31.272642;21.250000;0.120000;0.000000;0.000000;7.269988;4.258105;0.900000;0.900000
31.472642;21.450000;0.120000;0.000000;0.000000;7.385714;4.223871;0.900000;0.900000
31.672642;21.650000;0.120000;0.000000;0.000000;7.498747;4.189944;0.900000;0.900000
31.872642;21.850000;0.120000;0.000000;0.000000;7.609215;4.156305;0.911800;0.911800
32.072642;22.050000;0.120000;0.000000;0.000000;7.717235;4.122933;0.900000;0.900000
32.272642;22.250000;0.120000;0.000000;0.000000;7.822915;4.089820;0.920800;0.920800
32.472642;22.450000;0.120000;0.000000;0.000000;7.926355;4.056986;0.950000;0.950000
32.672642;22.650000;0.120000;0.000000;0.000000;8.027649;4.024421;0.946200;0.946200
32.872642;22.850000;0.120000;0.000000;0.000000;8.126883;1.899882;0.905200;0.905200
33.072642;23.050000;0.120000;0.000000;0.000000;8.121160;-6.862482;0.900000;0.900000
33.272642;23.250000;0.120000;0.000000;0.000000;7.788878;-13.174128;0.900000;0.900000
33.472642;23.450000;0.120000;0.000000;0.000000;7.444599;-13.071320;0.900000;0.900000
33.672642;23.650000;0.120000;0.000000;0.000000;7.086553;-12.969951;0.911800;0.911800
33.872642;23.850000;0.120000;0.000000;0.000000;6.712511;-12.870317;0.950000;0.950000
34.072642;24.050000;0.120000;0.000000;0.000000;6.319608;-12.772844;0.950000;0.950000
34.272642;24.250000;0.120000;0.000000;0.000000;5.904053;-12.678393;0.911800;0.911800
34.472642;24.450000;0.120000;0.000000;0.000000;5.460646;-12.588550;0.900000;0.900000
34.672642;24.650000;0.120000;0.000000;0.000000;4.981924;-12.506634;0.905200;0.905200
34.872642;24.850000;0.120000;0.000000;0.000000;4.456485;-12.440735;0.900000;0.900000
35.072642;25.050000;0.120000;0.000000;0.000000;3.865283;-12.415086;0.900000;0.900000
35.272642;25.250000;0.120000;0.000000;0.000000;3.171706;-12.536311;0.900000;0.900000
35.472642;25.450000;0.120000;0.000000;0.000000;2.284265;-5.119883;0.900000;0.900000
35.672642;25.650000;0.120000;0.463648;2.318238;2.275158;-0.098019;0.900000;0.900000
35.896249;25.850000;0.220000;0.244979;-0.977917;2.266015;2.404149;0.850000;0.850000
36.102404;26.050000;0.270000;0.000000;-1.188321;2.731118;4.585610;0.800000;0.800000
