s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
35.272642,25.250000,0.120000,0.000000,0.000000,3.171706,-12.104636,0.900000,0.900000
35.472642,25.450000,0.120000,0.000000,0.000000,2.284265,-0.103804,0.900000,0.900000
35.672642,25.650000,0.120000,0.463648,2.318238,2.275158,-0.103804,0.900000,0.900000
35.896249,25.850000,0.220000,0.244979,-0.977917,2.266015,5.197029,0.850000,0.850000
36.102404,26.050000,0.270000,0.000000,-1.188321,2.731118,2.986728,0.800000,0.800000
36.302404,26.250000,0.270000,0.000000,0.000000,2.947959,5.125726,0.800000,0.800000
36.502404,26.450000,0.270000,0.000000,0.000000,3.277309,5.084611,0.788200,0.788200
36.702404,26.650000,0.270000,0.000000,0.000000,3.574157,5.043825,0.751600,0.751600
36.902404,26.850000,0.270000,0.000000,0.000000,3.846054,5.003366,0.750000,0.750000
37.102404,27.050000,0.270000,0.000000,0.000000,4.097984,4.963232,0.763900,0.763900
37.302404,27.250000,0.270000,0.000000,0.000000,4.333448,4.923420,0.800000,0.800000
37.502404,27.450000,0.270000,0.000000,0.000000,4.555012,4.883928,0.800000,0.800000
37.702404,27.650000,0.270000,0.000000,0.000000,4.764631,-7.571967,0.800000,0.800000
37.902404,27.850000,0.270000,0.000000,0.000000,4.435417,-12.295880,0.800000,0.800000
38.102404,28.050000,0.270000,0.000000,0.000000,3.841168,-12.198035,0.800000,0.800000
38.302404,28.250000,0.270000,0.000000,0.000000,3.142508,-0.196459,0.800000,0.800000
38.502404,28.450000,0.270000,-0.244979,-1.224893,3.129979,-0.196459,0.800000,0.800000
38.708559,28.650000,0.220000,0.000000,1.188321,3.117401,0.256789,0.750000,0.750000
38.908559,28.850000,0.220000,0.000000,0.000000,3.134336,5.102993,0.750000,0.750000
39.108559,29.050000,0.220000,0.000000,0.000000,3.444599,5.062060,0.750000,0.750000
39.308559,29.250000,0.220000,0.000000,0.000000,3.726941,5.021455,0.750000,0.750000
39.508559,29.450000,0.220000,0.000000,0.000000,3.987313,4.981176,0.750000,0.750000
39.708559,29.650000,0.220000,0.000000,0.000000,4.229792,4.941220,0.750000,0.750000
39.908559,29.850000,0.220000,0.000000,0.000000,4.457312,4.901585,0.756200,0.756200
40.108559,30.050000,0.220000,0.000000,0.000000,4.672072,4.862267,0.800000,0.800000
