s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;w_tr_right_m;w_tr_left_m
19.082757;23.606600;1.199500;3.119029;0.019877;5.599077;4.671330;0.570100;0.570100
19.153675;23.535700;1.201100;3.119029;-0.000000;5.657937;4.658043;0.585200;0.585200
19.224593;23.464800;1.202700;3.119061;0.000448;5.716024;4.644794;0.626500;0.626500
19.295611;23.393800;1.204300;3.117620;-0.020297;5.773364;4.631583;0.650000;0.650000
19.366532;23.322900;1.206000;3.119029;0.019877;5.830059;4.618391;0.650000;0.650000
19.437450;23.252000;1.207600;3.119061;0.000448;5.885971;4.605254;0.650000;0.650000
19.508468;23.181000;1.209200;3.119029;-0.000447;5.941199;4.592155;0.650000;0.650000
19.579386;23.110100;1.210800;3.119029;0.000000;5.995840;4.579075;0.650000;0.650000
19.650304;23.039200;1.212400;3.119029;-0.000000;6.049759;4.566051;0.650000;0.650000
19.721222;22.968300;1.214000;3.119061;0.000448;6.103049;4.553064;0.657600;0.657600
19.792240;22.897300;1.215600;3.119029;-0.000447;6.155729;4.540114;0.667100;0.667100
19.863158;22.826400;1.217200;3.119029;-0.000000;6.207887;4.527182;0.680100;0.680100
19.934076;22.755500;1.218800;3.117620;-0.019877;6.259391;4.514305;0.700000;0.700000
20.004996;22.684600;1.220500;3.119061;0.020325;6.310330;4.501465;0.700000;0.700000
20.076014;22.613600;1.222100;3.119029;-0.000447;6.360720;4.488661;0.700000;0.700000
20.146932;22.542700;1.223700;3.119029;-0.000000;6.410641;4.475876;0.700000;0.700000
20.217850;22.471800;1.225300;3.119029;0.000000;6.459965;4.463145;0.650000;0.650000
20.288768;22.400900;1.226900;3.119061;0.000448;6.508778;4.450451;0.650000;0.650000
20.359787;22.329900;1.228500;3.119029;-0.000447;6.557089;4.437792;0.650000;0.650000
20.430705;22.259000;1.230100;3.119029;0.000000;6.604979;4.425152;0.650000;0.650000
20.501623;22.188100;1.231700;3.119029;-0.000000;6.652323;4.412566;0.650000;0.650000
20.572541;22.117200;1.233300;3.119061;0.000448;6.699198;4.400015;0.657600;0.657600
20.643559;22.046200;1.234900;3.117620;-0.020297;6.745616;4.387500;0.667100;0.667100
20.714479;21.975300;1.236600;3.119029;0.019877;6.791651;4.375003;0.680100;0.680100
20.785397;21.904400;1.238200;3.119029;-0.000000;6.837183;4.362559;0.700000;0.700000
20.856315;21.833500;1.239800;3.119061;0.000448;6.882285;4.350150;0.700000;0.700000
20.927333;21.762500;1.241400;3.119029;-0.000447;6.926965;4.337777;0.700000;0.700000
20.998251;21.691600;1.243000;3.119029;0.000000;6.971296;4.325422;0.700000;0.700000
21.069169;21.620700;1.244600;3.119029;-0.000000;7.015160;4.313119;0.700000;0.700000
21.140087;21.549800;1.246200;3.119061;0.000448;7.058628;4.300851;0.700000;0.700000
21.211105;21.478800;1.247800;3.119029;-0.000447;7.101707;4.288618;0.701800;0.701800
21.282023;21.407900;1.249400;3.119029;0.000000;7.144465;4.276403;0.715900;0.715900
21.352941;21.337000;1.251000;3.117620;-0.019877;7.186789;4.264239;0.728000;0.728000
21.423862;21.266100;1.252700;3.119061;0.020325;7.228745;4.252111;0.750000;0.750000
21.494880;21.195100;1.254300;3.119029;-0.000447;7.270342;4.240016;0.750000;0.750000
21.565798;21.124200;1.255900;3.119029;-0.000000;7.311642;4.227939;0.750000;0.750000
21.636716;21.053300;1.257500;3.119029;0.000000;7.352536;4.215913;0.750000;0.750000
21.707634;20.982400;1.259100;3.119061;0.000448;7.393088;4.203922;0.751700;0.751700
21.778652;20.911400;1.260700;3.119029;-0.000447;7.433305;4.191965;0.764900;0.764900
21.849570;20.840500;1.262300;3.119029;-0.000000;7.473248;4.180025;0.776200;0.776200
21.920488;20.769600;1.263900;3.119061;0.000448;7.512810;4.168135;0.800000;0.800000
21.991506;20.698600;1.265500;3.119029;-0.000447;7.552053;4.156280;0.800000;0.800000
22.062424;20.627700;1.267100;3.117620;-0.019877;7.591037;4.144442;0.800000;0.800000
22.133345;20.556800;1.268800;3.119029;0.019877;7.629658;4.132654;0.800000;0.800000
22.204263;20.485900;1.270400;3.119061;0.000448;7.667976;4.120899;0.800000;0.800000
22.275281;20.414900;1.272000;3.119029;-0.000447;7.705994;4.109178;0.800000;0.800000
22.346199;20.344000;1.273600;3.119029;0.000000;7.743772;4.097473;0.800000;0.800000
22.417117;20.273100;1.275200;3.119029;-0.000000;7.781206;4.085819;0.750000;0.750000
