x_m,y_m,v_mps,dr_m,dl_m
17.398879,-0.4291792,3.3666153,1.398388143881057,0.42421185611894296
17.5412406,-0.4342023,3.2690695,1.422855873922793,0.44394412607720696
17.7058904,-0.4409415,3.1762959,1.4119241316103996,0.42907586838960027
17.8673481,-0.4479638,3.0840208,1.3964732484031734,0.41252675159682645
18.0233178,-0.4542707,2.9917457,1.3911897999840521,0.4088102000159479
18.1743738,-0.4589723,2.8994706,1.389136846196306,0.41086315380369404
18.3210902,-0.4611788,2.8071955,1.3857976492070567,0.4142023507929433
18.4640412,-0.4600003,2.7149204,1.381439644885382,0.4185603551146179
18.603801,-0.4545471,2.6226453,1.4254733243006286,0.4745266756993713
18.7409436,-0.4439291,2.5303702,1.4447331112789366,0.5082668887210634
18.9037273,-0.4229587,2.3184552,1.4233999019362453,0.5120000980637547
19.0658102,-0.3907722,2.0835526,1.3785027755977022,0.5038972244022979
19.2179654,-0.3467316,1.84865,1.3781953599627004,0.5524046400372997
19.3564518,-0.2896595,1.6137474,1.367109154369944,0.6034908456300557
19.4775288,-0.2183788,1.3788448,1.2281302745890876,0.5366697254109123
19.5774554,-0.1317121,1.1439422,1.166329979394202,0.548070020605798
19.6555523,-0.0230445,1.0278568,1.282187324517297,0.7286126754827031
19.7075663,0.111885,1.0997963,1.276407519349404,0.7661924806505962
19.7293163,0.2591727,1.1717357,1.298073720043711,0.8019262799562893
19.7238715,0.4119038,1.2436752,1.303782158633052,0.7962178413669481
19.6943008,0.5631636,1.3156146,1.3220770905842887,0.7779229094157114
19.6436733,0.7060373,1.387554,1.3026624977251304,0.7027375022748694
19.5768548,0.8309694,1.5166183,1.3754372141971751,0.7021627858028248
19.4945613,0.9393141,1.6748215,1.3879101767123276,0.6290898232876723
19.3951321,1.0349891,1.8330247,1.1769937643447634,0.33580623565523654
19.2776771,1.1201717,1.991228,1.1027134362867779,0.234086563713222
19.1413057,1.197039,2.1494312,1.2044457879317694,0.3955542120682306
18.9851275,1.2677682,2.3076344,1.1652712433932941,0.4443287566067059
18.8515371,1.3191515,2.4119101,1.0963257193863485,0.45167428061365145
18.7256231,1.3624869,2.4936204,1.0864941607943228,0.5133058392056773
18.5919892,1.4045883,2.5753307,1.0504392520898316,0.5495607479101685
18.4516043,1.4456024,2.6570411,1.0149268161157359,0.5850731838842643
18.3054376,1.4856758,2.7387514,0.9513786212463943,0.5914213787536057
18.1544582,1.5249551,2.8204618,0.8995026655120152,0.6084973344879848
17.9996349,1.563587,2.9021721,0.9113853637241236,0.6886146362758765
17.841937,1.6017181,2.9838824,0.8774042282347709,0.7225957717652292
17.6823334,1.6394949,3.0655928,0.8435919505174969,0.7564080494825032
17.5278798,1.6756659,3.07075,0.811047606734365,0.788952393265635
17.3749561,1.7116315,3.056318,0.77855757357878,0.8214424264212201
17.2228204,1.7481589,3.0418859,0.7456950975898538,0.8543049024101463
17.0722849,1.7856507,3.0274539,0.7118198427254172,0.8881801572745829
16.9241616,1.8245093,3.0130219,0.6768145326337145,0.9231854673662856
16.7792625,1.8651372,2.9985899,0.6401630887406313,0.9598369112593688
16.6383996,1.907937,2.9841578,0.5826027136719726,0.9779972863280274
16.502385,1.9533111,2.9697258,0.5196632577481044,0.9927367422518956
16.3720307,2.0016621,2.9552938,0.47384316983277475,1.0261568301672253
16.2350082,2.05924,2.8776079,0.43521842672318023,1.0753815732768197
16.0904688,2.1289104,2.7201806,0.3881195349494763,1.1260804650505236
15.9546668,2.2031647,2.5627534,0.33205660502998186,1.1615433949700182
15.8261964,2.281297,2.4053261,0.36996578579117084,1.2768342142088291
