# x_m,y_m,width_right,width_left
-2.4706,-12.6549,0.6493,0.6533
-2.4687,-12.6650,0.6487,0.6526
-2.4667,-12.6752,0.6482,0.6519
-2.4648,-12.6853,0.6475,0.6512
-2.4629,-12.6955,0.6469,0.6506
-2.4610,-12.7056,0.6462,0.6500
-2.4591,-12.7158,0.6454,0.6494
-2.4572,-12.7259,0.6447,0.6488
-2.4554,-12.7361,0.6439,0.6482
-2.4535,-12.7462,0.6431,0.6477
-2.4517,-12.7564,0.6423,0.6471
-2.4498,-12.7665,0.6414,0.6466
-2.4480,-12.7767,0.6404,0.6460
-2.4462,-12.7869,0.6394,0.6454
-2.4443,-12.7970,0.6384,0.6449
-2.4425,-12.8072,0.6373,0.6443
-2.4406,-12.8173,0.6361,0.6437
-2.4388,-12.8275,0.6349,0.6431
-2.4369,-12.8376,0.6336,0.6425
-2.4350,-12.8478,0.6322,0.6419
-2.4331,-12.8579,0.6307,0.6412
-2.4311,-12.8681,0.6292,0.6406
-2.4292,-12.8782,0.6277,0.6399
-2.4272,-12.8883,0.6261,0.6391
-2.4251,-12.8985,0.6245,0.6384
-2.4231,-12.9086,0.6229,0.6375
-2.4210,-12.9187,0.6213,0.6367
-2.4188,-12.9288,0.6196,0.6357
-2.4165,-12.9389,0.6181,0.6348
-2.4142,-12.9489,0.6165,0.6337
-2.4119,-12.9590,0.6151,0.6326
-2.4094,-12.9690,0.6137,0.6314
-2.4069,-12.9790,0.6123,0.6301
-2.4043,-12.9890,0.6111,0.6288
-2.4016,-12.9990,0.6099,0.6274
-2.3989,-13.0089,0.6088,0.6260
-2.3961,-13.0189,0.6077,0.6246
-2.3933,-13.0288,0.6067,0.6232
-2.3905,-13.0388,0.6057,0.6218
-2.3877,-13.0487,0.6048,0.6204
-2.3849,-13.0586,0.6038,0.6190
-2.3822,-13.0686,0.6029,0.6177
-2.3794,-13.0785,0.6020,0.6163
-2.3767,-13.0885,0.6010,0.6151
-2.3740,-13.0984,0.6001,0.6138
-2.3713,-13.1084,0.5991,0.6126
-2.3687,-13.1184,0.5982,0.6114
-2.3660,-13.1284,0.5972,0.6102
-2.3634,-13.1384,0.5963,0.6091
-2.3609,-13.1484,0.5953,0.6080
-2.3583,-13.1584,0.5944,0.6069
-2.3558,-13.1684,0.5934,0.6058
-2.3533,-13.1784,0.5924,0.6047
-2.3507,-13.1884,0.5914,0.6037
-2.3483,-13.1984,0.5904,0.6026
-2.3458,-13.2085,0.5894,0.6016
-2.3433,-13.2185,0.5885,0.6006
-2.3408,-13.2285,0.5874,0.5996
-2.3383,-13.2385,0.5864,0.5986
-2.3358,-13.2485,0.5853,0.5976
-2.3333,-13.2586,0.5843,0.5965
-2.3308,-13.2686,0.5832,0.5955
-2.3283,-13.2786,0.5821,0.5945
-2.3258,-13.2886,0.5810,0.5934
-2.3232,-13.2986,0.5799,0.5924
-2.3207,-13.3086,0.5787,0.5913
-2.3181,-13.3186,0.5776,0.5902
-2.3154,-13.3286,0.5764,0.5891
-2.3128,-13.3386,0.5753,0.5879
-2.3101,-13.3485,0.5741,0.5868
-2.3074,-13.3585,0.5730,0.5857
-2.3047,-13.3685,0.5719,0.5845
-2.3020,-13.3784,0.5707,0.5834
-2.2992,-13.3884,0.5696,0.5822
-2.2965,-13.3983,0.5685,0.5810
-2.2937,-13.4083,0.5674,0.5799
-2.2910,-13.4182,0.5663,0.5788
-2.2882,-13.4282,0.5652,0.5776
-2.2855,-13.4381,0.5642,0.5765
-2.2827,-13.4481,0.5631,0.5754
-2.2800,-13.4580,0.5621,0.5742
-2.2772,-13.4680,0.5611,0.5731
-2.2745,-13.4779,0.5601,0.5720
-2.2717,-13.4879,0.5591,0.5709
-2.2690,-13.4978,0.5582,0.5698
-2.2663,-13.5078,0.5573,0.5687
-2.2635,-13.5178,0.5564,0.5676
-2.2608,-13.5277,0.5555,0.5666
-2.2581,-13.5377,0.5547,0.5655
-2.2553,-13.5476,0.5539,0.5644
-2.2526,-13.5576,0.5531,0.5633
-2.2498,-13.5675,0.5524,0.5622
-2.2471,-13.5775,0.5517,0.5611
-2.2443,-13.5874,0.5510,0.5600
-2.2415,-13.5974,0.5503,0.5588
-2.2387,-13.6073,0.5497,0.5577
-2.2359,-13.6172,0.5492,0.5566
-2.2331,-13.6272,0.5486,0.5555
-2.2302,-13.6371,0.5481,0.5544
-2.2273,-13.6470,0.5477,0.5533
-2.2243,-13.6569,0.5473,0.5523
-2.2214,-13.6668,0.5469,0.5512
-2.2184,-13.6766,0.5466,0.5503
-2.2153,-13.6865,0.5464,0.5494
-2.2122,-13.6963,0.5462,0.5487
-2.2091,-13.7062,0.5460,0.5480
-2.2059,-13.7160,0.5459,0.5474
-2.2027,-13.7258,0.5458,0.5469
-2.1995,-13.7356,0.5458,0.5465
-2.1963,-13.7454,0.5457,0.5461
-2.1930,-13.7552,0.5457,0.5459
-2.1897,-13.7650,0.5457,0.5458
-2.1865,-13.7748,0.5457,0.5457
-2.1832,-13.7846,0.5457,0.5457
-2.1799,-13.7944,0.5457,0.5457
-2.1766,-13.8042,0.5457,0.5457
-2.1733,-13.8140,0.5457,0.5457
-2.1700,-13.8238,0.5457,0.5457
