# x_m,y_m,w_tr_right_m,w_tr_left_m
14.9793,6.9851,0.6000,0.6000
14.8777,6.9822,0.6000,0.6000
14.7760,6.9795,0.6000,0.6000
14.6742,6.9769,0.6000,0.6000
14.5723,6.9746,0.6000,0.6000
14.4701,6.9726,0.6000,0.6000
14.3679,6.9708,0.6000,0.6000
14.2654,6.9692,0.6000,0.6000
14.1628,6.9680,0.6000,0.6000
14.0600,6.9670,0.6000,0.6000
13.9569,6.9664,0.6000,0.6000
13.8536,6.9660,0.5835,0.5835
13.7502,6.9660,0.5575,0.5575
13.6465,6.9662,0.5500,0.5500
13.5427,6.9665,0.5500,0.5500
13.4387,6.9671,0.5500,0.5500
13.3346,6.9678,0.5500,0.5500
13.2304,6.9686,0.5500,0.5500
13.1261,6.9694,0.5500,0.5500
13.0217,6.9703,0.5500,0.5500
12.9172,6.9712,0.5500,0.5500
12.8127,6.9720,0.5500,0.5500
12.7081,6.9728,0.5500,0.5500
12.6035,6.9735,0.5500,0.5500
12.4990,6.9740,0.5181,0.5181
12.3944,6.9744,0.5475,0.5475
12.2899,6.9745,0.5500,0.5500
12.1854,6.9744,0.5221,0.5221
12.0810,6.9741,0.5022,0.5022
11.9766,6.9734,0.5000,0.5000
11.8724,6.9724,0.5000,0.5000
11.7682,6.9710,0.5000,0.5000
11.6643,6.9692,0.5064,0.5064
11.5604,6.9669,0.5325,0.5325
11.4567,6.9642,0.5500,0.5500
11.3532,6.9609,0.5500,0.5500
11.2499,6.9571,0.5228,0.5228
11.1468,6.9527,0.5023,0.5023
11.0439,6.9477,0.5004,0.5004
10.9413,6.9420,0.5132,0.5132
10.8390,6.9357,0.5429,0.5429
10.7369,6.9286,0.5500,0.5500
10.6351,6.9208,0.5500,0.5500
10.5336,6.9121,0.6000,0.6000
10.4325,6.9027,0.6000,0.6000
10.3317,6.8924,0.6000,0.6000
10.2312,6.8811,0.6000,0.6000
10.1312,6.8690,0.6039,0.6039
10.0315,6.8558,0.6241,0.6241
9.9322,6.8415,0.6253,0.6253
9.8333,6.8261,0.6045,0.6045
9.7348,6.8096,0.6255,0.6255
9.6368,6.7918,0.6500,0.6500
9.5392,6.7728,0.6500,0.6500
9.4421,6.7524,0.7000,0.7000
9.3455,6.7306,0.7000,0.7000
9.2493,6.7074,0.7431,0.7431
9.1537,6.6827,0.7148,0.7148
9.0585,6.6565,0.7457,0.7457
8.9639,6.6287,0.7500,0.7500
8.8698,6.5992,0.8000,0.8000
8.7762,6.5680,0.8254,0.8254
8.6832,6.5351,0.8645,0.8645
8.5908,6.5003,0.9036,0.9036
8.4989,6.4639,0.9510,0.9510
8.4074,6.4266,1.0241,1.0241
8.3159,6.3892,1.1085,1.1085
8.2243,6.3528,1.1193,1.1193
8.1324,6.3181,1.1047,1.1047
8.0397,6.2862,1.1030,1.1030
7.9463,6.2578,1.1500,1.1500
7.8517,6.2339,1.1540,1.1540
7.7558,6.2154,1.1597,1.1597
7.6583,6.2032,1.1510,1.1510
7.5593,6.1972,1.1500,1.1500
7.4591,6.1969,1.1400,1.1400
7.3580,6.2014,1.1102,1.1102
7.2562,6.2099,1.1294,1.1294
7.1541,6.2218,1.1543,1.1543
7.0520,6.2363,1.1507,1.1507
6.9502,6.2526,1.1500,1.1500
6.8490,6.2700,1.1500,1.1500
6.7487,6.2877,1.1374,1.1374
6.6493,6.3054,1.0722,1.0722
6.5507,6.3230,1.0547,1.0547
6.4528,6.3403,1.0454,1.0454
6.3553,6.3575,1.0012,1.0012
6.2582,6.3743,0.9679,0.9679
6.1613,6.3907,0.9593,0.9593
6.0644,6.4066,0.9258,0.9258
5.9673,6.4219,0.9492,0.9492
5.8700,6.4366,0.9000,0.9000
5.7723,6.4506,0.9000,0.9000
5.6740,6.4638,0.9000,0.9000
5.5749,6.4761,0.9000,0.9000
5.4750,6.4875,0.8924,0.8924
5.3740,6.4979,0.8667,0.8667
5.2718,6.5072,0.8421,0.8421
5.1683,6.5153,0.8154,0.8154
5.0633,6.5222,0.8017,0.8017
4.9567,6.5278,0.8000,0.8000
4.8486,6.5320,0.8000,0.8000
4.7396,6.5344,0.8000,0.8000
4.6302,6.5349,0.8000,0.8000
4.5209,6.5332,0.8000,0.8000
4.4123,6.5292,0.8000,0.8000
4.3049,6.5226,0.8000,0.8000
4.1992,6.5131,0.8000,0.8000
4.0958,6.5006,0.8014,0.8014
3.9950,6.4849,0.8143,0.8143
3.8968,6.4659,0.8404,0.8404
3.8009,6.4439,0.8784,0.8784
3.7070,6.4187,0.9182,0.9182
3.6150,6.3907,0.9612,0.9612
3.5246,6.3598,0.9364,0.9364
3.4355,6.3261,0.9589,0.9589
3.3475,6.2897,0.9450,0.9450
3.2604,6.2508,0.9436,0.9436
3.1738,6.2093,0.9571,0.9571
3.0877,6.1654,0.9478,0.9478
3.0020,6.1192,0.9560,0.9560
2.9169,6.0707,1.0088,1.0088
2.8322,6.0201,1.0590,1.0590
2.7481,5.9674,1.1001,1.1001
2.6646,5.9127,1.1734,1.1734
2.5817,5.8562,1.2075,1.2075
2.4994,5.7979,1.2090,1.2090
2.4179,5.7378,1.2139,1.2139
2.3370,5.6761,1.2440,1.2440
2.2569,5.6129,1.2912,1.2912
2.1775,5.5483,1.3232,1.3232
2.0990,5.4823,1.3429,1.3429
2.0212,5.4150,1.3635,1.3635
1.9444,5.3466,1.3532,1.3532
1.8684,5.2770,1.3559,1.3559
1.7934,5.2065,1.3720,1.3720
1.7194,5.1351,1.3612,1.3612
1.6463,5.0628,1.3932,1.3932
1.5743,4.9899,1.4186,1.4186
1.5033,4.9163,1.4308,1.4308
1.4334,4.8421,1.4192,1.4192
1.3647,4.7674,1.4114,1.4114
1.2974,4.6921,1.4219,1.4219
1.2322,4.6159,1.4469,1.4469
1.1693,4.5386,1.4385,1.4385
1.1092,4.4600,1.4230,1.4230
1.0525,4.3798,1.4208,1.4208
0.9994,4.2978,1.3702,1.3702
0.9506,4.2138,1.3438,1.3438
0.9063,4.1275,1.2832,1.2832
0.8671,4.0387,1.2549,1.2549
0.8335,3.9472,1.2205,1.2205
0.8056,3.8528,1.2367,1.2367
0.7828,3.7559,1.2632,1.2632
0.7644,3.6571,1.2466,1.2466
0.7493,3.5566,1.2796,1.2796
0.7367,3.4552,1.2651,1.2651
0.7257,3.3533,1.2359,1.2359
0.7154,3.2513,1.2151,1.2151
0.7050,3.1498,1.2506,1.2506
