# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.2200,5.7400,1.0000,1.0000
-1.1700,5.7400,1.0000,1.0000
-1.1200,5.7400,1.0000,1.0000
-1.0700,5.6900,0.9500,0.9500
-1.0200,5.6900,0.9500,0.9500
-0.9700,5.6900,0.9500,0.9500
-0.9200,5.6900,0.9500,0.9500
-0.8700,5.6900,0.9500,0.9500
-0.8200,5.6900,0.9500,0.9500
-0.7700,5.6400,0.9014,0.9014
-0.7200,5.6400,0.9055,0.9055
-0.6700,5.6400,0.9124,0.9124
-0.6200,5.6400,0.9220,0.9220
-0.5700,5.6400,0.9341,0.9341
-0.5200,5.6400,0.9487,0.9487
-0.4700,5.5900,0.9124,0.9124
-0.4200,5.5900,0.9220,0.9220
-0.3700,5.5900,0.9341,0.9341
-0.3200,5.5900,0.9487,0.9487
-0.2700,5.5900,0.9657,0.9657
-0.2200,5.5900,0.9849,0.9849
-0.1700,5.5400,0.9618,0.9618
-0.1200,5.5400,0.9862,0.9862
-0.0700,5.4900,0.9708,0.9708
-0.0200,5.4900,0.9849,0.9849
0.0300,5.4400,0.9618,0.9618
0.0800,5.3900,0.9394,0.9394
0.0800,5.3400,0.9552,0.9552
0.1300,5.2900,0.9434,0.9434
0.1800,5.2400,0.9220,0.9220
0.1800,5.1900,0.9192,0.9192
0.2300,5.1400,0.9014,0.9014
0.2800,5.0900,0.8631,0.8631
0.3300,5.0400,0.8246,0.8246
0.3800,4.9900,0.7906,0.7906
0.3800,4.9400,0.8062,0.8062
0.4300,4.8900,0.7649,0.7649
0.4300,4.8400,0.7762,0.7762
0.4800,4.7900,0.7433,0.7433
0.4800,4.7400,0.7566,0.7566
0.5300,4.6900,0.7159,0.7159
0.5300,4.6400,0.7280,0.7280
0.5800,4.5900,0.6964,0.6964
0.5800,4.5400,0.7071,0.7071
0.5800,4.4900,0.6946,0.6946
0.6300,4.4400,0.6801,0.6801
0.6300,4.3900,0.6964,0.6964
0.6300,4.3400,0.6801,0.6801
0.6800,4.2900,0.6671,0.6671
0.6800,4.2400,0.6801,0.6801
0.6800,4.1900,0.6801,0.6801
0.6800,4.1400,0.6671,0.6671
0.6800,4.0900,0.6500,0.6500
0.6800,4.0400,0.6325,0.6325
0.7300,3.9900,0.6500,0.6500
0.7800,3.9400,0.6021,0.6021
0.7800,3.8900,0.6083,0.6083
0.7800,3.8400,0.6185,0.6185
0.7800,3.7900,0.6325,0.6325
0.7800,3.7400,0.6265,0.6265
0.7800,3.6900,0.6042,0.6042
0.7800,3.6400,0.5852,0.5852
0.7800,3.5900,0.5701,0.5701
0.7800,3.5400,0.5590,0.5590
0.7800,3.4900,0.5523,0.5523
0.7800,3.4400,0.5500,0.5500
0.7800,3.3900,0.5500,0.5500
0.7800,3.3400,0.5500,0.5500
0.7800,3.2900,0.5500,0.5500
0.7800,3.2400,0.5500,0.5500
0.7800,3.1900,0.5500,0.5500
0.7800,3.1400,0.5500,0.5500
0.7800,3.0900,0.5500,0.5500
0.7800,3.0400,0.5500,0.5500
0.7800,2.9900,0.5500,0.5500
0.7800,2.9400,0.5500,0.5500
0.7800,2.8900,0.5500,0.5500
0.7800,2.8400,0.5523,0.5523
0.7800,2.7900,0.5590,0.5590
0.7800,2.7400,0.5701,0.5701
0.7800,2.6900,0.5852,0.5852
0.7800,2.6400,0.6000,0.6000
0.7800,2.5900,0.6000,0.6000
0.7800,2.5400,0.6000,0.6000
0.7800,2.4900,0.5852,0.5852
0.7300,2.4400,0.5701,0.5701
0.7300,2.3900,0.5852,0.5852
0.7300,2.3400,0.6000,0.6000
0.7300,2.2900,0.6000,0.6000
0.7300,2.2400,0.6000,0.6000
0.7300,2.1900,0.6000,0.6000
0.7300,2.1400,0.6000,0.6000
0.7300,2.0900,0.6000,0.6000
0.7300,2.0400,0.6000,0.6000
0.7300,1.9900,0.6000,0.6000
0.7300,1.9400,0.6000,0.6000
0.7300,1.8900,0.6000,0.6000
0.7300,1.8400,0.6000,0.6000
0.6800,1.7900,0.6000,0.6000
0.6800,1.7400,0.6000,0.6000
0.6800,1.6900,0.6000,0.6000
0.6800,1.6400,0.6000,0.6000
0.6800,1.5900,0.6000,0.6000
0.6800,1.5400,0.6000,0.6000
0.6800,1.4900,0.6000,0.6000
0.6800,1.4400,0.6000,0.6000
0.6800,1.3900,0.6000,0.6000
0.6800,1.3400,0.6000,0.6000
0.6800,1.2900,0.6000,0.6000
