# x_m,y_m,width_inner,width_outer
-17.4444,-90.9567,1.0497,1.0490
-17.5581,-90.9623,1.0495,1.0490
-17.6718,-90.9680,1.0494,1.0490
-17.7855,-90.9738,1.0493,1.0490
-17.8991,-90.9796,1.0492,1.0491
-18.0128,-90.9854,1.0491,1.0491
-18.1265,-90.9913,1.0489,1.0491
-18.2401,-90.9973,1.0488,1.0491
-18.3538,-91.0033,1.0487,1.0491
-18.4674,-91.0095,1.0485,1.0490
-18.5811,-91.0156,1.0484,1.0490
-18.6947,-91.0219,1.0482,1.0490
-18.8084,-91.0283,1.0481,1.0489
-18.9220,-91.0348,1.0479,1.0489
-19.0356,-91.0414,1.0478,1.0488
-19.1492,-91.0482,1.0477,1.0487
-19.2628,-91.0551,1.0475,1.0486
-19.3764,-91.0621,1.0474,1.0485
-19.4900,-91.0694,1.0473,1.0484
-19.6036,-91.0768,1.0471,1.0482
-19.7172,-91.0844,1.0470,1.0481
-19.8307,-91.0923,1.0469,1.0480
-19.9443,-91.1004,1.0468,1.0478
-20.0578,-91.1087,1.0467,1.0477
-20.1713,-91.1174,1.0466,1.0476
-20.2847,-91.1263,1.0465,1.0475
-20.3982,-91.1355,1.0464,1.0473
-20.5116,-91.1451,1.0463,1.0471
-20.6250,-91.1550,1.0462,1.0469
-20.7383,-91.1653,1.0461,1.0467
-20.8516,-91.1760,1.0460,1.0465
-20.9649,-91.1871,1.0460,1.0463
-21.0781,-91.1986,1.0459,1.0461
-21.1913,-91.2106,1.0458,1.0458
-21.3045,-91.2231,1.0458,1.0455
-21.4175,-91.2360,1.0457,1.0453
-21.5306,-91.2495,1.0457,1.0450
-21.6435,-91.2635,1.0457,1.0447
-21.7564,-91.2780,1.0457,1.0445
-21.8692,-91.2932,1.0454,1.0442
-21.9819,-91.3089,1.0450,1.0440
-22.0946,-91.3253,1.0447,1.0437
-22.2071,-91.3423,1.0443,1.0435
-22.3195,-91.3599,1.0440,1.0433
-22.4319,-91.3782,1.0437,1.0432
-22.5441,-91.3972,1.0434,1.0430
-22.6562,-91.4170,1.0431,1.0429
-22.7682,-91.4374,1.0429,1.0428
-22.8800,-91.4586,1.0428,1.0427
-22.9917,-91.4806,1.0427,1.0427
-23.1032,-91.5034,1.0426,1.0428
-23.2145,-91.5270,1.0425,1.0428
-23.3257,-91.5514,1.0426,1.0430
-23.4367,-91.5766,1.0426,1.0431
-23.5475,-91.6027,1.0428,1.0434
-23.6580,-91.6297,1.0430,1.0437
-23.7684,-91.6576,1.0434,1.0440
-23.8785,-91.6864,1.0439,1.0442
-23.9884,-91.7161,1.0444,1.0441
-24.0980,-91.7469,1.0450,1.0440
-24.2073,-91.7785,1.0448,1.0440
-24.3163,-91.8111,1.0446,1.0441
-24.4251,-91.8447,1.0446,1.0442
-24.5335,-91.8793,1.0447,1.0444
-24.6416,-91.9149,1.0448,1.0447
-24.7494,-91.9514,1.0450,1.0449
-24.8569,-91.9889,1.0453,1.0453
-24.9640,-92.0275,1.0455,1.0456
-25.0707,-92.0670,1.0458,1.0460
-25.1770,-92.1076,1.0463,1.0464
-25.2830,-92.1492,1.0467,1.0468
-25.3885,-92.1919,1.0470,1.0473
-25.4936,-92.2356,1.0474,1.0479
-25.5982,-92.2803,1.0478,1.0476
-25.7024,-92.3261,1.0479,1.0472
-25.8062,-92.3730,1.0474,1.0469
-25.9094,-92.4209,1.0470,1.0466
-26.0122,-92.4698,1.0466,1.0463
-26.1144,-92.5198,1.0462,1.0460
-26.2162,-92.5708,1.0459,1.0458
-26.3174,-92.6229,1.0456,1.0456
-26.4180,-92.6761,1.0454,1.0456
-26.5181,-92.7303,1.0454,1.0456
-26.6176,-92.7855,1.0454,1.0458
-26.7165,-92.8418,1.0455,1.0460
-26.8149,-92.8990,1.0458,1.0463
-26.9128,-92.9571,1.0462,1.0465
-27.0100,-93.0162,1.0465,1.0462
-27.1068,-93.0762,1.0463,1.0461
-27.2030,-93.1370,1.0462,1.0461
-27.2987,-93.1986,1.0463,1.0461
-27.3939,-93.2610,1.0464,1.0463
-27.4886,-93.3242,1.0466,1.0465
